Book	Sht	Row	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
500-599	496	1	iAGRI CHEMICAL CORPORATION	CARTAP HYDROCHLORIDE	KABOOM 50 SP	500 g/kg	SP	INSECTICIDE	3	534-106-3288	07/05/2020	SYSTEMIC	Rice	"Whorl maggots, stemborer, green leafhopper, brown planthopper"
500-599	496	2	iAGRI CHEMICAL CORPORATION	CARTAP HYDROCHLORIDE	KABOOM 50 SP	500 g/kg	SP	INSECTICIDE	3	534-106-3288	07/05/2020	SYSTEMIC	Wongbok	"Diamond-back moth, aphids, cabbage moth, cabbage worm"
500-599	496	3	iAGRI CHEMICAL CORPORATION	CARTAP HYDROCHLORIDE	KABOOM 50 SP	500 g/kg	SP	INSECTICIDE	3	534-106-3288	07/05/2020	SYSTEMIC	Cabbage	"Diamond-back moth, aphids, cabbage moth, cabbage worm"
500-599	496	4	iAGRI CHEMICAL CORPORATION	CARTAP HYDROCHLORIDE	KABOOM 50 SP	500 g/kg	SP	INSECTICIDE	3	534-106-3288	07/05/2020	SYSTEMIC	Cucurbits	"Thrips, leafworm, squash beetle, aphids, flea beetle"
500-599	496	5	iAGRI CHEMICAL CORPORATION	CARTAP HYDROCHLORIDE	KABOOM 50 SP	500 g/kg	SP	INSECTICIDE	3	534-106-3288	07/05/2020	SYSTEMIC	Garlic	"Thrips, cutworm"
500-599	496	6	iAGRI CHEMICAL CORPORATION	CARTAP HYDROCHLORIDE	KABOOM 50 SP	500 g/kg	SP	INSECTICIDE	3	534-106-3288	07/05/2020	SYSTEMIC	Onion	"Thrips, cutworm"
500-599	496	7	iAGRI CHEMICAL CORPORATION	CARTAP HYDROCHLORIDE	KABOOM 50 SP	500 g/kg	SP	INSECTICIDE	3	534-106-3288	07/05/2020	SYSTEMIC	Potato	"Thrips, cutworm, leafhopper, tuber moth, aphids and leafminer"
500-599	496	8	iAGRI CHEMICAL CORPORATION	CARTAP HYDROCHLORIDE	KABOOM 50 SP	500 g/kg	SP	INSECTICIDE	3	534-106-3288	07/05/2020	SYSTEMIC	Mango	leafhoppers
500-599	496	9	iAGRI CHEMICAL CORPORATION	CARTAP HYDROCHLORIDE	KABOOM 50 SP	500 g/kg	SP	INSECTICIDE	3	534-106-3288	07/05/2020	SYSTEMIC	Pechay	"looper, cutworm, aphids"
500-599	496	10	GOLDEN FARMERS AGRI PRODUCTCORPORATION	CLOTHIANIDIN	JUSTICE 20 SC	200 g/L	SC	INSECTICIDE	4	603-379-5757	31/05/2025	-	Rice	Rice black bug
500-599	496	11	EZERTECH CORPORATION	DIURON	JURON 80 WP	800 g/Kg	WP	HERBICIDE	4	648-021-5038	18/02/2023	SYSTEMIC	Citrus	Blanket application on broadleaves and annual grasses
500-599	496	12	EZERTECH CORPORATION	DIURON	JURON 80 WP	800 g/Kg	WP	HERBICIDE	4	648-021-5038	18/02/2023	SYSTEMIC	Coffee	Direct spray on broadleaves and annual grasses
