book	Sht	Row	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
200-299	199	1	KEMISTAR CORPORATION	"2,4-D AMINE"	"SHELL 2,4-D AMINE"	400 g/L	EC	HERBICIDE	2	239-013-1971	07/07/2023	SELECTIVE (POST-EMERGENT)	Sugarcane	Annual broadleaves and sedges
200-299	199	2	KEMISTAR CORPORATION	"2,4-D AMINE"	"SHELL 2,4-D AMINE"	400 g/L	EC	HERBICIDE	2	239-013-1971	07/07/2023	SELECTIVE (POST-EMERGENT)	Corn	Annual broadleaves and sedges
200-299	199	3	TAIPAN BRAND FARM INC.	"2,4-D AMINE"	"SHELL 2,4-D AMINE"	400 g/L	EC	HERBICIDE	2	529-013-3120	28/02/2022	SELECTIVE (POST-EMERGENT)	Rice (Transplanted)	Annual broadleaves and sedges
200-299	199	4	TAIPAN BRAND FARM INC.	"2,4-D AMINE"	"SHELL 2,4-D AMINE"	400 g/L	EC	HERBICIDE	2	529-013-3120	28/02/2022	SELECTIVE (POST-EMERGENT)	Sugarcane	Annual broadleaves and sedges
200-299	199	5	TAIPAN BRAND FARM INC.	"2,4-D AMINE"	"SHELL 2,4-D AMINE"	400 g/L	EC	HERBICIDE	2	529-013-3120	28/02/2022	SELECTIVE (POST-EMERGENT)	Corn	Annual broadleaves and sedges
200-299	199	6	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	Potato	"Early & late blight, vine rot"
200-299	199	7	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	Tomato	"Early & late blight, vine rot"
200-299	199	8	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	Beans	"Rust, anthracnose"
200-299	199	9	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	Carrots	"Alternative, cercospora leaf spot, helminthosporium leaf spot"
200-299	199	10	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	Crucifers	Powdery Mildew
200-299	199	11	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	"Cucurbits (melon,cucumber, squash,"	"Powdery Mildew, Cercspora, Septoria fruit rot, anthracnose, early &late blght"
200-299	199	12	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	Celery	Early & late blight
200-299	199	13	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	Eggplant	"Early & Late blight, cercospora leaf spot, anthracnose"
200-299	199	14	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	Onion	"Purple blotch, bulb rot, neck rot"
200-299	199	15	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	Pepper	"Early blight, cercospora leaf spot, anthracnose"
200-299	199	16	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	Corn	"helminthosporium leaf spot, cercospora leaf spot,"
200-299	199	17	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	Grapes	"Downy mildew, powdery mildew, fruit rot"
200-299	199	18	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	Mango	"Anthracnose, diplodia rot"
200-299	199	19	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	Banana	"Sigatoka, Leaf freckle, rust, helminthosporium leaf spot"
200-299	199	20	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	Ornamentals	"Black spot, powdery mildew, black rot"
200-299	199	21	ZEAL ECOLOGICAL NATURE (ZENCOR)CORPORATION	CHLOROTHALONIL	SHAW 720 SC	720 g/L	SC	FUNGICIDE	4	575-118-5734	15/11/2024	-	Asparagus	Stem and leaf blight
200-299	199	22	"AGRI-SPROUT PHILS., INC."	NICLOSAMIDE ETHANOLAMINE SALT	SHATTER 70 WP	700 g/Kg	WP	MOLLUSCICIDE	4	668-229-5086	22/02/2024	CONTACT	Rice	Golden Apple Snail (Kuhol)
200-299	199	23	ALDIZ INCORPORATED	GLYPHOSATE IPA	SHARPSHOOTER 48 SL	480 g/L	SL	HERBICIDE	4	002-151-1295	03/12/2023	POST-EMERGENT	Glyphosate tolerantcorn	"Annual & perennial grasses, broadleaf weeds & sedges"
200-299	199	24	ALDIZ INCORPORATED	GLYPHOSATE IPA	SHARPSHOOTER 48 SL	480 g/L	SL	HERBICIDE	4	002-151-1295	03/12/2023	POST-EMERGENT	Mango	"Annual & perennial grasses, broadleaf weeds & sedges"
200-299	199	25	ALDIZ INCORPORATED	GLYPHOSATE IPA	SHARPSHOOTER 48 SL	480 g/L	SL	HERBICIDE	4	002-151-1295	03/12/2023	POST-EMERGENT	Banana	"Annual & perennial grasses, broadleaf weeds & sedges"
200-299	199	26	ALDIZ INCORPORATED	GLYPHOSATE IPA	SHARPSHOOTER 48 SL	480 g/L	SL	HERBICIDE	4	002-151-1295	03/12/2023	POST-EMERGENT	Coffee	"Annual & perennial grasses, broadleaf weeds & sedges"
200-299	199	27	ALDIZ INCORPORATED	GLYPHOSATE IPA	SHARPSHOOTER 48 SL	480 g/L	SL	HERBICIDE	4	002-151-1295	03/12/2023	POST-EMERGENT	Cacao	"Annual & perennial grasses, broadleaf weeds & sedges"
200-299	199	28	ALDIZ INCORPORATED	GLYPHOSATE IPA	SHARPSHOOTER 48 SL	480 g/L	SL	HERBICIDE	4	002-151-1295	03/12/2023	POST-EMERGENT	Rubber	"Annual & perennial grasses, broadleaf weeds & sedges"
200-299	200	0	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
200-299	200	1	ALDIZ INCORPORATED	GLYPHOSATE IPA	SHARPSHOOTER 48 SL	480 g/L	SL	HERBICIDE	4	002-151-1295	03/12/2023	POST-EMERGENT	Oil palm	"Annual & perennial grasses, broadleaf weeds & sedges"
200-299	200	2	ALDIZ INCORPORATED	GLYPHOSATE IPA	SHARPSHOOTER 48 SL	480 g/L	SL	HERBICIDE	4	002-151-1295	03/12/2023	POST-EMERGENT	Citrus	"Annual & perennial grasses, broadleaf weeds & sedges"
200-299	200	3	ALDIZ INCORPORATED	GLYPHOSATE IPA	SHARPSHOOTER 48 SL	480 g/L	SL	HERBICIDE	4	002-151-1295	03/12/2023	POST-EMERGENT	Coconut	"Annual & perennial grasses, broadleaf weeds & sedges"
200-299	200	4	ALDIZ INCORPORATED	GLYPHOSATE IPA	SHARPSHOOTER 48 SL	480 g/L	SL	HERBICIDE	4	002-151-1295	03/12/2023	POST-EMERGENT	Sugarcane	"Annual & perennial grasses, broadleaf weeds & sedges"
200-299	200	5	ALDIZ INCORPORATED	GLYPHOSATE IPA	SHARPSHOOTER 48 SL	480 g/L	SL	HERBICIDE	4	002-151-1295	03/12/2023	POST-EMERGENT	Vegetables	"Annual & perennial grasses, broadleaf weeds & sedges"
200-299	200	6	ALDIZ INCORPORATED	GLYPHOSATE IPA	SHARPSHOOTER 48 SL	480 g/L	SL	HERBICIDE	4	002-151-1295	03/12/2023	POST-EMERGENT	non-crop	"Annual & perennial grasses, broadleaf weeds & sedges"
200-299	200	7	SHARPHIL INC.	TEBUCONAZOLE	SHARPHIL TEBUCONAZOLE 430 SC	430 g/L	SC	FUNGICIDE	4	402-259-2575	11/04/2020	SYSTEMIC	Banana	Sigatoka
200-299	200	8	SHARPHIL INC.	TEBUCONAZOLE	SHARPHIL TEBUCONAZOLE 430 SC	430 g/L	SC	FUNGICIDE	4	402-259-2575	11/04/2020	SYSTEMIC	Corn	Rust
200-299	200	9	SHARPHIL INC.	TEBUCONAZOLE	SHARPHIL TEBUCONAZOLE 430 SC	430 g/L	SC	FUNGICIDE	4	402-259-2575	11/04/2020	SYSTEMIC	Mango	Anthracnose
200-299	200	10	SHARPHIL INC.	CYHALOFOP-BUTYL	SHARPHIL RYCFOP 100 EC	100 g/Kg	EC	HERBICIDE	4	402-257-3457	14/07/2024	SYSTEMIC	Rice (Direct-Seeded)	Grasses
200-299	200	11	SHARPHIL INC.	PROFENOFOS	SHARPHIL PROF 50 EC	500g/L	EC	INSECTICIDE	2	402-070-4266	01/03/2021	CONTACT	Mango	Thrips
