Book	Sht	Row	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
600-699	595	1	"JYNNSONS PHILIPPINES, INC."	MANCOZEB	FRENZY 80 WP	800 g/Kg	WP	FUNGICIDE	4	551-053-3771	10/05/2025		Mango	Anthracnose and Scab
600-699	595	2	"JYNNSONS PHILIPPINES, INC."	MANCOZEB	FRENZY 80 WP	800 g/Kg	WP	FUNGICIDE	4	551-053-3771	10/05/2025		Papaya	Fruit rot
600-699	595	3	"JYNNSONS PHILIPPINES, INC."	MANCOZEB	FRENZY 80 WP	800 g/Kg	WP	FUNGICIDE	4	551-053-3771	10/05/2025		Melon	"Downy mildew, Anthracnose, Scab"
600-699	595	4	"JYNNSONS PHILIPPINES, INC."	MANCOZEB	FRENZY 80 WP	800 g/Kg	WP	FUNGICIDE	4	551-053-3771	10/05/2025		Watermelon	"Downy mildew, Anthracnose, Scab"
600-699	595	5	"JYNNSONS PHILIPPINES, INC."	MANCOZEB	FRENZY 80 WP	800 g/Kg	WP	FUNGICIDE	4	551-053-3771	10/05/2025		Corn (Sweet andPopcorn)	Helminthosporium leaf spot
600-699	595	6	"JYNNSONS PHILIPPINES, INC."	MANCOZEB	FRENZY 80 WP	800 g/Kg	WP	FUNGICIDE	4	551-053-3771	10/05/2025		Rice	"Blast, Sheath blight, cercospora leaf spot, helminthosporium leafspot"
600-699	595	7	"JYNNSONS PHILIPPINES, INC."	MANCOZEB	FRENZY 80 WP	800 g/Kg	WP	FUNGICIDE	4	551-053-3771	10/05/2025		Peanut	Cercospora leaf spot
600-699	595	8	"JYNNSONS PHILIPPINES, INC."	MANCOZEB	FRENZY 80 WP	800 g/Kg	WP	FUNGICIDE	4	551-053-3771	10/05/2025		Soybeans	Leaf rust
600-699	595	9	"JYNNSONS PHILIPPINES, INC."	MANCOZEB	FRENZY 80 WP	800 g/Kg	WP	FUNGICIDE	4	551-053-3771	10/05/2025		Ornamentals	"Black spot, blight, Anthracnose"
600-699	595	10	AGWAY CHEMICALS CORPORATION	CHLOROTHALONIL	FREE 75 WP	750 g/kg	WP	FUNGICIDE	4	075-118-1688	26/05/2017		Grapes	"Downy mildew, powdery mildew, fruit rot"
600-699	595	11	AGWAY CHEMICALS CORPORATION	CHLOROTHALONIL	FREE 75 WP	750 g/kg	WP	FUNGICIDE	4	075-118-1688	26/05/2017		Potato	"Early and late blight, vine rot"
600-699	595	12	AGWAY CHEMICALS CORPORATION	CHLOROTHALONIL	FREE 75 WP	750 g/kg	WP	FUNGICIDE	4	075-118-1688	26/05/2017		Tomato	"Early and late blight, vine rot"
600-699	595	13	AGWAY CHEMICALS CORPORATION	CHLOROTHALONIL	FREE 75 WP	750 g/kg	WP	FUNGICIDE	4	075-118-1688	26/05/2017		Banana	"Sigatoka, rust, freckles"
600-699	595	14	AGWAY CHEMICALS CORPORATION	CHLOROTHALONIL	FREE 75 WP	750 g/kg	WP	FUNGICIDE	4	075-118-1688	26/05/2017		Peas	"Rust, anthracnose"
600-699	595	15	AGWAY CHEMICALS CORPORATION	CHLOROTHALONIL	FREE 75 WP	750 g/kg	WP	FUNGICIDE	4	075-118-1688	26/05/2017		Beans	"Rust, anthracnose"
600-699	595	16	AGWAY CHEMICALS CORPORATION	CHLOROTHALONIL	FREE 75 WP	750 g/kg	WP	FUNGICIDE	4	075-118-1688	26/05/2017		Citrus	"Scab, melanose"
600-699	595	17	AGWAY CHEMICALS CORPORATION	CHLOROTHALONIL	FREE 75 WP	750 g/kg	WP	FUNGICIDE	4	075-118-1688	26/05/2017		Watermelon	"Powdery mildew, anthracnose, early and late blight, cercospora leafspot"
600-699	595	18	AGWAY CHEMICALS CORPORATION	CHLOROTHALONIL	FREE 75 WP	750 g/kg	WP	FUNGICIDE	4	075-118-1688	26/05/2017		Garlic	"Purple blotch, bulb rot, neck rot"
600-699	595	19	AGWAY CHEMICALS CORPORATION	CHLOROTHALONIL	FREE 75 WP	750 g/kg	WP	FUNGICIDE	4	075-118-1688	26/05/2017		Onion	"Purple blotch, bulb rot, neck rot"
600-699	595	20	AGWAY CHEMICALS CORPORATION	CHLOROTHALONIL	FREE 75 WP	750 g/kg	WP	FUNGICIDE	4	075-118-1688	26/05/2017		Rice	"Rice blast, stem rot, helminthosporium leaf spot, cercospora leafspot, shealt blight"
600-699	595	21	AGWAY CHEMICALS CORPORATION	CHLOROTHALONIL	FREE 75 WP	750 g/kg	WP	FUNGICIDE	4	075-118-1688	26/05/2017		Corn	"Helminthosporium leafspot, rust, downy mildew"
