book	Sht	Row	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
001-099	1	1	AGCHEM MANUFACTURING CORPORATION	BISPYRIBAC SODIUM	ZYTOX 10 SC	100 g/L	SC	HERBICIDE	2	001-276-3588	23-10-24	"SELECTIVE (POST-EMERGENCE)"	"Rice (Direct-Seededlowland)"	"Grasses, sedges and broadleaves"
001-099	1	2	118 AGRICULTURAL  CORPORATION	LAMBDA-CYHALOTHRIN	ZULPAC -LAMBDA 2.5 EC	25 g/L	EC	INSECTICIDE	2	506-204-2908	17-10-20	SYSTEMIC	Cocoa	Podborer
001-099	1	3	118 AGRICULTURAL  CORPORATION	LAMBDA-CYHALOTHRIN	ZULPAC LAMBDA 2.5 EC	25 g/L	EC	INSECTICIDE	2	506-204-2908	17-10-20	SYSTEMIC	Rice	"Green leafhopper, armyworm, rice bug, leaffolder, black bug"
001-099	1	4	118 AGRICULTURAL  CORPORATION	LAMBDA-CYHALOTHRIN	ZULPAC LAMBDA 2.5 EC	25 g/L	EC	INSECTICIDE	2	506-204-2908	17-10-20	SYSTEMIC	Mango	Hoppers
001-099	1	5	118 AGRICULTURAL  CORPORATION 	LAMBDA-CYHALOTHRIN	ZULPAC LAMBDA 2.5 EC	25 g/L	EC	INSECTICIDE	2	506-204-2908	17-10-20	SYSTEMIC	Tomato	"Fruitworm, cutworm, aphids"
001-099	1	6	118 AGRICULTURAL  CORPORATION	LAMBDA-CYHALOTHRIN	ZULPAC LAMBDA 2.5 EC	25 g/L	EC	INSECTICIDE	2	506-204-2908	17-10-20	SYSTEMIC	Onion	"Thrips, cutworm"
001-099	1	7	118 AGRICULTURAL  CORPORATION	LAMBDA-CYHALOTHRIN	ZULPAC LAMBDA 2.5 EC	25 g/L	EC	INSECTICIDE	2	506-204-2908	17-10-20	SYSTEMIC	Mungbeans	"Beanfly, flea bettle, leafhopper, aphids, mites, podborer"
001-099	1	8	118 AGRICULTURAL  CORPORATION	LAMBDA-CYHALOTHRIN	ZULPAC LAMBDA 2.5 EC	25 g/L	EC	INSECTICIDE	2	506-204-2908	17-10-20	SYSTEMIC	Corn	"Cornborer, aphids, seedling maggots"
001-099	1	9	118 AGRICULTURAL  CORPORATION	LAMBDA-CYHALOTHRIN	ZULPAC LAMBDA 2.5 EC	25 g/L	EC	INSECTICIDE	2	506-204-2908	17-10-20	SYSTEMIC	Tobacco	"Budworm, Cutworm, aphids, katydids"
001-099	1	10	118 AGRICULTURAL  CORPORATION	LAMBDA-CYHALOTHRIN	ZULPAC LAMBDA 2.5 EC	25 g/L	EC	INSECTICIDE	2	506-204-2908	17-10-20	SYSTEMIC	Cotton	Bollworm
001-099	1	11	118 AGRICULTURAL  CORPORATION	LAMBDA-CYHALOTHRIN	ZULPAC LAMBDA 2.5 EC	25 g/L	EC	INSECTICIDE	2	506-204-2908	17-10-20	SYSTEMIC	Watermelon	"Squash beetle, melon worm"
001-099	1	12	SL BIOTECH CORPORATION	NICLOSAMIDE ETHANOLAMINE SALT	ZUKOL 70 WP	700 g/kg	WP	MOLLUSCICIDE	4	488-229-2735	10-12-22	-	Rice	Golden apple snail
001-099	1	13	SHARPHIL INC.	AZOXYSTROBIN	ZOXY 250 SC	250 g/L	SC	FUNGICIDE	4	402-309-2947	23-01-20	SYSTEMIC	Banana	Black sigatoka & freckle desease
001-099	1	14	AGSPEC PHILIPPINES CORPORATION	ZOXAMIDE	ZOXIUM 240 SC	240 g/L	SC	FUNGICIDE	4	508-494-4578	17-12-24		Banana	Black sigatoka
001-099	1	15	AGWAY CHEMICALS CORPORATION	ZOXAMIDE	ZOXIUM 240 SC	240 g/L	SC	FUNGICIDE	4	075-494-4663	14-02-25	-	Banana	Black sigatoka
001-099	1	16	"VANN HAWK AGRO CHEMICALS, INC."	METHYL EUGENOL	ZORGEN	99 g/L	L	OTHERS	3	295-358-4919	09/25/2022	-	Mango	Oriental fruitfly
001-099	1	17	"BERRIS AGRICULTURAL CO., INC."	CYPERMETHRIN	ZOOM 5 EC	50 g/L	EC	INSECTICIDE	4	233-037-0959	28-12-22	CONTACT	Mango	"Leafhopper, twig borer, tip borer, fruit fly"
001-099	1	18	"BERRIS AGRICULTURAL CO., INC."	CYPERMETHRIN	ZOOM 5 EC	50 g/L	EC	INSECTICIDE	4	233-037-0959	28-12-22	CONTACT	Rice	"Green leafhopper, brown planthopper, white-backed planthopper,leaffolder, stem borer, armyworm, rice bug"
001-099	1	19	"BERRIS AGRICULTURAL CO., INC."	CYPERMETHRIN	ZOOM 5 EC	50 g/L	EC	INSECTICIDE	4	233-037-0959	28-12-22	CONTACT	Cabbage	"Diamond back-moth, cabbage moth, worm"
001-099	1	20	"BERRIS AGRICULTURAL CO., INC."	CYPERMETHRIN	ZOOM 5 EC	50 g/L	EC	INSECTICIDE	4	233-037-0959	28-12-22	CONTACT	Beans	"Pod borer, beanfly, leafminer, aphids, cutworm"
001-099	1	21	"BERRIS AGRICULTURAL CO., INC."	CYPERMETHRIN	ZOOM 5 EC	50 g/L	EC	INSECTICIDE	4	233-037-0959	28-12-22	CONTACT	Tomato	"Tomato fruitworm, aphids, beetle"
001-099	1	22	"BERRIS AGRICULTURAL CO., INC."	CYPERMETHRIN	ZOOM 5 EC	50 g/L	EC	INSECTICIDE	4	233-037-0959	28-12-22	CONTACT	Watermelon	"Aphids, thrips, beetle"
001-099	1	23	"BERRIS AGRICULTURAL CO., INC."	CYPERMETHRIN	ZOOM 5 EC	50 g/L	EC	INSECTICIDE	4	233-037-0959	28-12-22	CONTACT	Onion	"Thrips, cutworm"
